City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
220,Aklavik,CA,68.2191,-135.0107,54.32,47,100,6.69,overcast clouds,0.0,0.0
221,Zaria,NG,11.1113,7.7227,76.8,59,10,7.31,clear sky,0.0,0.0
222,Mahebourg,MU,-20.4081,57.7,71.26,94,20,6.91,light rain,0.1,0.0
223,Coxim,BR,-18.5067,-54.76,72.88,58,98,3.22,moderate rain,1.91,0.0
224,Tahta,EG,26.7693,31.5021,78.91,15,0,3.02,clear sky,0.0,0.0
225,Yerbogachen,RU,61.2767,108.0108,60.62,52,51,5.35,broken clouds,0.0,0.0
226,Villa Bruzual,VE,9.3328,-69.1208,79.65,67,99,1.59,overcast clouds,0.0,0.0
227,Takoradi,GH,4.8845,-1.7554,78.87,87,100,7.0,light rain,0.23,0.0
228,Port Elizabeth,ZA,-33.918,25.5701,53.89,82,0,5.75,clear sky,0.0,0.0
229,Luderitz,NA,-26.6481,15.1594,56.23,65,0,15.19,clear sky,0.0,0.0
230,Erie,US,42.7667,-78.6664,53.74,77,0,5.32,clear sky,0.0,0.0
231,Urumqi,CN,43.801,87.6005,79.75,15,0,2.24,clear sky,0.0,0.0
232,Mitsamiouli,KM,-11.3847,43.2844,78.13,78,6,10.04,light rain,0.28,0.0
233,Terney,RU,45.0503,136.6092,44.83,89,100,2.59,overcast clouds,0.0,0.0
234,Karratha,AU,-20.7377,116.8463,74.43,54,3,12.5,clear sky,0.0,0.0
235,Komsomolskiy,UZ,40.4272,71.7189,78.22,41,1,9.22,clear sky,0.0,0.0
236,Whitehorse,CA,60.7161,-135.0538,57.97,44,75,17.0,broken clouds,0.0,0.0
237,Bethel,US,41.3712,-73.414,49.19,92,100,1.01,light rain,0.13,0.0
238,Alekseyevka,RU,50.6309,38.6903,51.39,95,98,5.79,overcast clouds,0.0,0.0
239,Santa Maria,BR,-29.6842,-53.8069,38.5,100,0,2.84,clear sky,0.0,0.0
240,Shahrud,IR,36.4182,54.9763,75.58,30,2,7.11,clear sky,0.0,0.0
241,Locri,IT,38.2414,16.2623,64.17,82,6,3.4,clear sky,0.0,0.0
242,Chokurdakh,RU,70.6333,147.9167,66.74,22,6,13.2,clear sky,0.0,0.0
243,Tecolutla,MX,20.4833,-97.0167,80.65,82,8,8.55,clear sky,0.0,0.0
244,Mareeba,AU,-17.0,145.4333,75.43,70,90,8.95,overcast clouds,0.0,0.0
245,Chicama,PE,-7.8447,-79.1469,63.14,85,100,6.42,overcast clouds,0.0,0.0
246,Kuah,MY,6.3265,99.8432,87.8,89,20,2.19,few clouds,0.0,0.0
247,Eureka,US,40.8021,-124.1637,65.91,73,87,1.99,overcast clouds,0.0,0.0
248,Yermakovskoye,RU,53.2831,92.4003,52.32,75,15,4.16,few clouds,0.0,0.0
249,Camacari,BR,-12.6975,-38.3242,78.57,91,81,4.25,broken clouds,0.0,0.0
250,Adrar,MR,20.5022,-10.0711,89.53,28,100,11.54,overcast clouds,0.0,0.0
251,Nanhai,CN,30.1282,111.7784,80.82,71,83,6.24,broken clouds,0.0,0.0
252,Falam,MM,22.9167,93.6833,75.79,61,21,1.05,few clouds,0.0,0.0
253,Salalah,OM,17.0151,54.0924,82.49,89,75,4.61,broken clouds,0.0,0.0
254,Riyadh,SA,24.6877,46.7219,87.85,11,0,0.0,clear sky,0.0,0.0
255,Canto Do Buriti,BR,-8.11,-42.9444,70.9,52,34,4.59,scattered clouds,0.0,0.0
256,Ambatofinandrahana,MG,-20.55,46.8,51.48,87,0,1.16,clear sky,0.0,0.0
257,Ust-Maya,RU,60.4167,134.5333,65.39,48,100,5.41,overcast clouds,0.0,0.0
258,Zhaozhou,CN,45.6833,125.3167,74.23,33,11,8.01,few clouds,0.0,0.0
259,Umm Kaddadah,SD,13.6017,26.6876,85.53,22,5,5.03,clear sky,0.0,0.0
260,Mut,TR,36.6439,33.4389,64.92,59,6,2.71,clear sky,0.0,0.0
261,Eregli,TR,37.5133,34.0467,60.96,63,89,2.37,overcast clouds,0.0,0.0
262,Westport,US,41.1415,-73.3579,50.9,93,90,1.01,overcast clouds,0.0,0.0
263,Zeya,RU,53.75,127.2667,56.98,79,98,6.22,light rain,0.19,0.0
264,Kahului,US,20.8947,-156.47,83.97,68,40,11.5,scattered clouds,0.0,0.0
265,Hami,CN,42.8,93.45,74.73,9,0,10.96,clear sky,0.0,0.0
266,Oyo,NG,7.85,3.9333,73.78,98,77,4.23,broken clouds,0.0,0.0
267,Lebu,CL,-37.6167,-73.65,53.91,94,100,11.25,overcast clouds,0.0,0.0
268,Sabha,LY,27.0377,14.4283,80.28,27,0,12.1,clear sky,0.0,0.0
269,Choix,MX,26.7092,-108.3219,87.57,27,95,7.72,overcast clouds,0.0,0.0
270,Vila Do Maio,CV,15.1333,-23.2167,72.39,85,96,15.28,overcast clouds,0.0,0.0
271,Carnarvon,AU,-24.8667,113.6333,66.27,68,61,9.22,broken clouds,0.0,0.0
272,San Matias,BO,-16.3667,-58.4,79.23,51,100,5.66,overcast clouds,0.0,0.0
273,Iqaluit,CA,63.7506,-68.5145,37.13,81,90,11.01,overcast clouds,0.0,0.0
274,Airai,TL,-8.9266,125.4092,71.67,56,100,1.54,overcast clouds,0.0,0.0
275,Egvekinot,RU,66.3167,-179.1667,47.52,39,48,4.29,scattered clouds,0.0,0.0
276,Shimsk,RU,58.212,30.7127,37.08,84,11,2.73,few clouds,0.0,0.0
277,Taksimo,RU,56.3444,114.8794,43.92,67,100,3.15,overcast clouds,0.0,0.0
278,Kontagora,NG,10.3999,5.4695,80.38,61,28,6.08,scattered clouds,0.0,0.0
279,Arman,RU,59.7,150.1667,37.22,98,100,5.28,light rain,0.1,0.0
280,Yaya,RU,56.206,86.44,59.61,71,100,7.07,overcast clouds,0.0,0.0
281,Yurty,RU,56.0498,97.6348,41.54,74,100,2.91,overcast clouds,0.0,0.0
282,Kushima,JP,31.4583,131.2333,81.91,55,2,7.4,clear sky,0.0,0.0
283,Vung Tau,VN,10.346,107.0843,84.7,75,16,10.04,few clouds,0.0,0.0
284,Severo-Kurilsk,RU,50.6789,156.125,39.06,97,100,23.4,moderate rain,1.2,0.0
285,Les Cayes,HT,18.2,-73.75,77.56,83,100,5.57,overcast clouds,0.0,0.0
286,Vao,NC,-22.6667,167.4833,70.14,55,92,17.63,overcast clouds,0.0,0.0
287,Vanimo,PG,-2.6741,141.3028,85.35,70,78,8.34,broken clouds,0.0,0.0
288,Nuuk,GL,64.1835,-51.7216,34.41,93,75,13.8,broken clouds,0.0,0.0
