City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Wewak,PG,85.32,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
451,Capitao Poco,BR,72.97,clear sky,-1.7464,-47.0594,Hotel New Tokyo
452,Wichita Falls,US,72.66,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
454,Mulege,MX,81.1,clear sky,26.8833,-111.9833,Casa Granada
456,Santa Cruz Do Rio Pardo,BR,60.57,overcast clouds,-22.8989,-49.6325,Hotel Os Galeguinhos
461,Namibe,AO,73.31,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
464,Gabu,GW,77.92,overcast clouds,12.2833,-14.2167,Hotel karsa
467,Wahpeton,US,68.02,few clouds,46.2652,-96.6059,Select Inn Breckenridge
468,Bahia Honda,CU,76.87,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
470,Karaton,ID,84.33,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
474,Itupiranga,BR,74.48,clear sky,-5.1347,-49.3267,Hotel Panorama
475,Port Alberni,CA,67.28,overcast clouds,49.2413,-124.8028,Somass Motel & RV
477,Dovolnoye,RU,67.57,scattered clouds,54.4958,79.6671,Gostinitsa
479,Humberto De Campos,BR,75.52,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
482,Wuwei,CN,67.87,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
483,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
485,Ahipara,NZ,60.01,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
487,Geraldton,AU,62.13,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
488,Griffith,US,62.91,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
489,Garissa,KE,73.98,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
491,Kochi,IN,80.58,overcast clouds,9.9399,76.2602,Hotel Abad
492,Maues,BR,77.94,broken clouds,-3.3836,-57.7186,Hotel Miramar
495,Bambui,BR,68.72,overcast clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
498,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
499,Fortuna,US,77.18,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
501,Jiuquan,CN,63.61,clear sky,39.7432,98.5174,Jiuquan Hotel
503,Phalaborwa,ZA,63.68,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
504,Paita,PE,69.1,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
505,Nagai,JP,71.35,few clouds,38.1036,140.035,土田旅館
507,Sao Felix Do Xingu,BR,70.52,clear sky,-6.6447,-51.995,Rio Xingu Camping
509,Hohhot,CN,71.89,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
510,Whitefish,US,71.35,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
513,Misratah,LY,69.76,broken clouds,32.3754,15.0925,فندق الماسة
516,Morgan City,US,75.0,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
518,Biak,ID,82.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
519,Kananga,CD,64.13,broken clouds,-5.8958,22.4178,Guest House Wood Land
520,Ilebo,CD,69.58,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
521,Lumberton,US,61.21,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
524,Huanren,CN,71.2,clear sky,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
528,Dharchula,IN,74.34,scattered clouds,29.85,80.5333,Mahara Hotel
530,Blackwater,AU,72.72,clear sky,-23.5833,148.8833,Blackwater Motor Inn
531,Carbonia,IT,63.0,overcast clouds,39.1672,8.5222,Lu 'Hotel
532,Alice Springs,AU,74.21,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
534,Altay,CN,69.26,clear sky,47.8667,88.1167,Jinqiao Hotel
535,Xinxiang,CN,86.68,overcast clouds,35.3089,113.8672,Guoyu Holiday Inn
537,Makasar,ID,84.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
541,Dubbo,AU,62.73,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
543,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
544,Sabang,ID,84.04,broken clouds,5.8933,95.3214,Hotel Citra
545,Epe,NG,78.01,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
547,Cockburn Town,TC,80.1,few clouds,21.4612,-71.1419,Osprey Beach Hotel
548,Benghazi,LY,69.89,clear sky,32.1167,20.0667,Tibesti Hotel
549,Taft,IR,69.75,clear sky,31.7471,54.2088,بوم گردی حاجی زینل تفت
550,Jacareacanga,BR,75.61,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
551,Gawler,AU,60.22,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
553,Yaring,TH,87.84,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
555,Buin,CL,64.06,overcast clouds,-33.7333,-70.75,Paihuen
558,Le Port,RE,70.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
559,Muriwai Beach,NZ,60.96,broken clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
561,Poum,NC,72.0,overcast clouds,-20.2333,164.0167,Gîte kajeon
564,Papetoai,PF,81.99,broken clouds,-17.4961,-149.8729,Fare Vaihere
